Dataset,Model,Feature Structure,LR,Score,Metric,Filename
mb-change_cls_ctx,dinov2_l14,concat2,0.0001,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov2_l14,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov2_l14,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.0001_original.log
mb-change_cls_ctx,dinov2_l14,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.001_concat_2.log
mb-change_cls_ctx,dinov2_l14,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.001_concat_3.log
mb-change_cls_ctx,dinov2_l14,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr0.001_original.log
mb-change_cls_ctx,dinov2_l14,concat2,1e-05,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr1e-05_concat_2.log
mb-change_cls_ctx,dinov2_l14,concat3,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr1e-05_concat_3.log
mb-change_cls_ctx,dinov2_l14,original,1e-05,85.0,Best Val Accuracy,mb-change_cls_ctx_dinov2_l14_lr1e-05_original.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat2,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.0001_concat_3.log
mb-change_cls_ctx,dinov3_lvd_1cha,original,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.0001_original.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat2,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.001_concat_2.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat3,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.001_concat_3.log
mb-change_cls_ctx,dinov3_lvd_1cha,original,0.001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr0.001_original.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat2,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr1e-05_concat_2.log
mb-change_cls_ctx,dinov3_lvd_1cha,concat3,1e-05,90.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr1e-05_concat_3.log
mb-change_cls_ctx,dinov3_lvd_1cha,original,1e-05,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_1cha_lr1e-05_original.log
mb-change_cls_ctx,dinov3_lvd,concat2,0.0001,85.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.0001_concat_2.log
mb-change_cls_ctx,dinov3_lvd,concat3,0.0001,80.0,Best Val Accuracy,mb-change_cls_ctx_dinov3_lvd_lr0.0001_concat_3.log
